Year,Coal,Oil,Gas,Sub Total,Nuclear,Hydro,Geo Thermal,Solar,Wind,Wood,Bio other,Sub Total,Misc,Total
2015,"1,356.06",28.44,"1,348.03","2,732.53",797.18,251.17,16.77,26.47,190.93,42.36,21.83,549.53,8.15,"4,087.39"
2014,"1,581.71",30.23,"1,138.63","2,750.57",797.17,259.37,15.88,17.69,181.655,42.34,21.65,538.58,60.5,"4,146.20"
Proportion 2014,38.14%,0.73%,27.46%,66.33%,19.22%,6.25%,0.38%,0.43%,4.38%,1.02%,0.52%,12.99%,1.46%,100.00%
2013,"1,581.12",27.16,"1,137.69","2,745.97",789.02,268.57,15.78,9.04,167.84,40,20.83,522.07,55.64,"4,112.70"
2012,"1,514.04",23.19,"1,237.79","2,775.02",769.33,276.24,15.56,4.33,140.82,37.8,19.82,494.57,56.1,4095
2011,"1,733.40",30.2,"1,025.30","2,788.90",790.2,319.4,15.3,1.82,120.2,37.4,19.2,513.32,46,4138.4
2010,"1,847.30",37.1,999,"2,883.40",807,260.2,15.2,1.21,94.7,37.2,18.9,427.4,33.3,"4,151.00"
Proportion 2010,44.50%,0.90%,24.10%,69.50%,19.40%,6.30%,0.37%,0.03%,2.30%,0.90%,0.50%,10.30%,0.80%,100.00%
2009,"1,755.90",38.9,931.6,"2,726.50",798.9,273.4,15,0.89,73.9,36.1,18.4,417.7,41.4,"3,984.40"
2008,"1,985.80",46.2,894.7,"2,926.70",806.2,254.8,14.8,0.86,55.4,37.3,17.7,380.9,38.3,"4,152.20"
2007,"2,016.50",65.7,910,"2,992.20",806.4,247.5,14.6,0.61,34.5,39,16.5,352.7,36.6,"4,188.00"
2000,"1,966",111,615,"2,692",754,260,14,0.49,5.6,37.6,23,318.7,38.6,"3,836"
Proportion 2000,51.30%,2.90%,16.00%,70.20%,19.70%,7.20%,0.37%,0.01%,0.15%,1.00%,0.60%,9.30%,0.90%,100.00%
1999,"1,881",118,57l,"2,570",728,319.5,14.8,0.5,4.5,37,22.6,392.8,55,"3,723.80"